Column1;building;location
0;ZI;52.23920253719435, 6.856910817479597
1;CR;52.23816328226085, 6.857637461359666
2;HT;52.23761533457211, 6.860704629276648
3;RA;52.239394466454705, 6.855659446986793
4;CU;52.2404747275504, 6.856748790412035
5;SP;52.23967014713761, 6.849788127854926
6;SC;52.24387520603568, 6.850267866916351
7;NH;52.23808480549669, 6.861725240099451
8;OH;52.23695706050182, 6.861045395561615
9;HB;52.23872999804916, 6.857130329481763
10;WA;52.23847743019222, 6.8563891284821175
11;WH;52.23871000853758, 6.859747131536082
12;HR;52.23762429639754, 6.860899781564861
13;VR;52.24380877424921, 6.853376992143756
14;CI;52.23889678656126, 6.855166303367093
15;EX;52.23889678656126, 6.855166303367093
16;GY;52.237232702978964, 6.8550384228553325
17;TH;52.236476928219574, 6.843190805386873
